"name","Store Number","latitude","longitude","url","sales_52w_py","CV ENERGY BOOST Sales","CV EXOTIC INDULGENCE Sales","CV ACAI ENERGIZE PWR Sales","CV PASSION BLISS Sales","CV FIT & WELLNESS Sales","CV CHIA SUPREMACY Sales","street_address","city","state","zip_code","country","phone_number_1","poblacion (10km)","digital_audience_facebook","digital_audience_instagram","digital_audience_twitter","digital_audience_linkedin","reviews","positive","negative","total_sales","campoverde_sales","digital_audience","Str #","sales_52w","var","sales_mix","velocity_ty_cv","velocity_ly","velocity_var","Qty TY","Qty LY","VAR","segment","sales_tier","",""
"Columbia Supercenter","986","34.110157","-80.886603","https://www.walmart.com/store/1339/columbia-sc/details","10835.48","","","","","","","10060 Two Notch Rd","Columbia","SC","29223","US","803-736-8123","147112","56491","37661","33836","41191","397","254","143","47451074","18055688","174099","1339","9,595.64","-11.44%","","207.99","184.53","12.71%","865","991","-12.71%","","Diamond","",""
"Columbus Supercenter","987","32.423808","-84.945113","https://www.walmart.com/store/1338/columbus-ga/details","6064.64","13","9","160","16","137","153","3515 Victory Drive","Columbus","GA","31903","US","706-568-3222","106251","40800","27200","24438","29750","139","121","18","6179951","30255399","86171","1338","5,435.72","-10.37%","","116.63","104.53","11.57%","490","550","-10.91%","","Diamond","",""
"Elkin Supercenter","988","36.275974","-80.832332","https://www.walmart.com/store/1337/elkin-nc/details","0","105","69","223","136","150","160","548 Cc Camp Rd","Elkin","NC","28621","US","336-526-2636","72010","27652","18435","16562","20163","770","123","647","6425928","31472384","161373","1337","87.76","100.00%","","0","1.69","-100.00%","8","0","100.00%","","Quartz","",""
"Lithonia Supercenter","989","33.700533","-84.166977","https://www.walmart.com/store/1340/lithonia-ga/details","8618.92","247","25","290","165","172","0","5401 Fairington Rd","Lithonia","GA","30038","US","770-593-3540","81736","31387","20924","18799","22886","317","272","45","19735758","1872152","137563","1340","7,939.16","-7.89%","","165.75","152.68","8.56%","718","779","-7.83%","","Diamond","",""
"Staunton Supercenter","990","38.134491","-79.04839","https://www.walmart.com/store/1344/staunton-va/details","3792.86","164","0","219","163","209","0","1028 Richmond Avenue C.","Staunton","VA","24401","US","540-886-8566","137705","52879","35252","31672","38557","526","178","348","38851081","25003890","137762","1344","2,398.73","-36.76%","","72.94","46.13","58.12%","217","343","-36.73%","","Emerald","",""
"Kenner Supercenter","991","30.024946","-90.268094","https://www.walmart.com/store/1342/kenner-la/details","5178.28","99","0","168","72","117","0","300 W Esplanade Ave","Kenner","LA","70065","US","504-464-1653","124477","47799","31866","28630","34854","166","132","34","27389428","12825402","74543","1342","8,026.21","55.00%","","99.58","154.35","-35.48%","725","464","56.25%","","Emerald","",""
"South Boston Supercenter","992","36.735782","-78.91059","https://www.walmart.com/store/1345/south-boston-va/details","0","0","0","0","10","18","0","3471 Old Halifax Rd","South Boston","VA","24592","US","434-575-0680","112460","43185","28790","25866","31489","894","861","33","43664435","7658799","187124","1345","252.31","100.00%","","0","4.85","-100.00%","23","0","100.00%","","Quartz","",""
"Beckley Supercenter","993","37.805608","-81.17671","https://www.walmart.com/store/1351/beckley-wv/details","358.36","0","0","31","29","42","36","1330 No. Eisenhower Dr","Beckley","WV","25801","US","304-255-7800","56572","21724","14482","13012","15840","533","189","344","18316288","1993213","149417","1351","509.75","42.25%","","6.89","9.8","-29.70%","46","32","43.75%","","Amethyst","",""
"Lynchburg Supercenter","994","37.353827","-79.185652","https://www.walmart.com/store/1350/lynchburg-va/details","4030.52","143","0","204","147","169","0","3900 Wards Rd","Lynchburg","VA","24502","US","434-832-0304","119898","46041","30694","27577","33571","945","674","271","8812742","13855697","113116","1350","4,285.86","6.34%","","77.51","82.42","-5.96%","387","364","6.32%","","Emerald","",""
"Wilmington Supercenter","995","34.146396","-77.897384","https://www.walmart.com/store/1348/wilmington-nc/details","5622.7","0","0","0","0","0","0","5135 Carolina Beach Rd","Wilmington","NC","28412","US","910-452-0944","120123","46127","30751","27628","33634","493","211","282","42076518","43066037","137130","1348","5,115.31","-9.02%","","108.13","98.37","9.92%","461","509","-9.43%","","Emerald","",""
"Harahan Supercenter","996","29.949489","-90.179499","https://www.walmart.com/store/1353/harahan-la/details","6621.98","","","","","","","5110 Jefferson Hwy","Harahan","LA","70123","US","504-733-4923","149234","57306","38204","34324","41786","547","100","447","47295012","11596833","161710","1353","8,235.21","24.36%","","127.35","158.37","-19.59%","744","601","23.79%","","Diamond","",""
"Evansville Supercenter","997","37.972732","-87.636218","https://www.walmart.com/store/1341/evansville-in/details","2041.3","","","","","","","335 S Red Bank Rd","Evansville","IN","47712","US","812-424-5475","95411","36638","24425","21945","26715","314","314","0","27475252","29914729","50925","1341","1,835.27","-10.09%","","39.26","34.66","13.26%","166","185","-10.27%","","Topaz","",""
"Washington Supercenter","998","35.559783","-77.06361","https://www.walmart.com/store/1354/washington-nc/details","5330.44","","","","","","","570 Pamlico Plz","Washington","NC","27889","US","252-975-2083","106404","40859","27239","24473","29793","628","480","148","45133107","21132582","57055","1354","2,274.50","-57.33%","","102.51","43.74","100.00%","205","488","-57.99%","","Emerald","",""
"Morehead City Supercenter","999","34.7348209","-76.8116296","https://www.walmart.com/store/1355/morehead-city-nc/details","5385","0","0","69","55","51","59","300 Nc Highway 24","Morehead City","NC","28557","US","252-247-0511","56784","21805","14537","13060","15900","163","161","2","29209857","35206047","143120","1355","2,123.34","-60.57%","","103.56","40.83","100.00%","192","498","-61.45%","","Emerald","",""
"Sunrise Supercenter","1000","26.167944","-80.254227","https://www.walmart.com/store/1349/sunrise-fl/details","17206.54","0","0","71","42","29","110","3306 North University Drive","Sunrise","FL","33351","US","954-749-3111","125521","48200","32133","28870","35146","150","131","19","40827848","33864995","95502","1349","15,271.84","-11.24%","","330.9","293.69","12.67%","1379","1547","-10.86%","","Diamond","",""
"San Antonio Supercenter","1001","29.490162","-98.43745","https://www.walmart.com/store/1347/san-antonio-tx/details","2401.22","0","7","9","0","0","0","1430 Austin Hwy","San Antonio","TX","78209","US","210-637-1700","51571","19803","13202","11861","14440","294","143","151","44676402","30318502","138764","1347","1,950.10","-18.79%","","46.18","37.5","23.13%","176","217","-18.89%","","Topaz","",""
"Ocean Springs Supercenter","1002","30.412276","-88.760165","https://www.walmart.com/store/1346/ocean-springs-ms/details","7750.68","23","0","26","0","0","0","3911 Bienville Blvd","Ocean Springs","MS","39564","US","228-875-4036","139198","53452","35635","32016","38975","139","126","13","19194291","23592983","191476","1346","4,635.87","-40.19%","","149.05","88.89","67.68%","423","712","-40.59%","","Diamond","",""
"Martinsville Supercenter","1003","39.418348","-86.405892","https://www.walmart.com/store/1356/martinsville-in/details","94.58","0","0","0","0","0","0","410 Grand Valley Blvd","Martinsville","IN","46151","US","765-342-3786","63319","24314","16210","14563","17729","969","521","448","38259893","9422537","59274","1356","13.86","-85.35%","","1.82","0","100.00%","3","11","-72.73%","","Amethyst","",""
"Walterboro Supercenter","1004","32.934593","-80.689624","https://www.walmart.com/store/1358/walterboro-sc/details","3907","12","0","271","18","208","15","2110 Bells Hwy","Walterboro","SC","29488","US","843-539-1550","118793","45617","30411","27322","33262","252","126","126","20563235","9443513","97756","1358","3,572.10","-8.57%","","75.13","68.69","9.38%","321","356","-9.83%","","Emerald","",""
"Wallace Supercenter","1005","34.739219","-77.968927","https://www.walmart.com/store/1352/wallace-nc/details","4743.2","","","","","","","5625 S Nc 41 Hwy","Wallace","NC","28466","US","910-285-2078","95580","36703","24468","21983","26762","390","366","24","31471707","32889448","131297","1352","2,724.84","-42.55%","","91.22","52.4","74.07%","246","424","-41.98%","","Emerald","",""
"Fayetteville Supercenter","1006","38.034292","-81.119714","https://www.walmart.com/store/1360/fayetteville-wv/details","162.18","41","0","92","41","64","0","204 Town Center Rd","Fayetteville","WV","25840","US","304-574-1086","74132","28467","18978","17050","20757","577","269","308","10114476","19945725","142011","1360","230.94","42.40%","","3.12","4.44","-29.77%","21","15","40.00%","","Amethyst","",""
"Silver City Supercenter","1007","32.78962","-108.24771","https://www.walmart.com/store/1357/silver-city-nm/details","747.6","0","2","61","0","54","57","2501 Highway 180 E","Silver City","NM","88061","US","575-538-2222","50803","19508","13006","11685","14225","697","684","13","33432776","4574947","110626","1357","4,021.58","100.00%","","14.38","77.34","-81.41%","364","66","100.00%","","Amethyst","",""
"Destin Supercenter","1008","30.389545","-86.449696","https://www.walmart.com/store/1362/destin-fl/details","9181.62","0","1","6","0","0","0","15017 Emerald Coast Pkwy","Destin","FL","32541","US","850-650-0341","99661","38270","25513","22922","27905","994","392","602","33701879","47015842","141233","1362","5,476.32","-40.36%","","176.57","105.31","67.66%","495","837","-40.86%","","Diamond","",""
"North Charleston Supercenter","1009","32.93911","-80.035584","https://www.walmart.com/store/1359/north-charleston-sc/details","7766.32","","","","","","","7400 Rivers Ave","North Charleston","SC","29406","US","843-572-9660","63672","24450","16300","14645","17828","177","144","33","5864228","41128013","184018","1359","5,685.73","-26.79%","","149.35","108.48","37.68%","515","698","-26.22%","","Diamond","",""
"Madison Supercenter","1010","33.56619","-83.480021","https://www.walmart.com/store/1363/madison-ga/details","3287.84","1","3","0","5","2","0","1681 Eatonton Rd","Madison","GA","30650","US","706-342-9988","146383","56211","37474","33668","40987","972","448","524","38097808","48504245","185039","1363","2,898.65","-11.84%","","63.23","55.74","13.43%","262","306","-14.38%","","Topaz","",""
"Warner Robins Supercenter","1011","32.621467","-83.673274","https://www.walmart.com/store/1367/warner-robins-ga/details","6270.34","93","0","102","76","99","0","2720 Watson Blvd","Warner Robins","GA","31093","US","478-953-7070","102011","39172","26115","23463","28563","242","239","3","10307922","41531507","98305","1367","6,547.25","4.42%","","120.58","125.91","-4.23%","592","569","4.04%","","Diamond","",""
"Merrill Supercenter","1012","45.175726","-89.649301","https://www.walmart.com/store/1366/merrill-wi/details","1274.68","0","7","68","0","39","30","505 S. Pine Ridge Avenue","Merrill","WI","54452","US","715-536-2414","114401","43930","29287","26312","32032","705","413","292","47085194","16063291","93702","1366","628.62","-50.68%","","24.51","12.09","100.00%","57","116","-50.86%","","Amethyst","",""
"Bullhead City Supercenter","1013","35.082534","-114.5943","https://www.walmart.com/store/1370/bullhead-city-az/details","2988.8","","","","","","","2840 Highway 95","Bullhead City","AZ","86442","US","928-758-7222","143539","55119","36746","33014","40191","468","340","128","13214846","40548132","152149","1370","3,752.46","25.55%","","57.48","72.16","-20.35%","339","274","23.72%","","Topaz","",""
"Lake Havasu City Supercenter","1014","34.571629","-114.368101","https://www.walmart.com/store/1364/lake-havasu-city-az/details","2416.26","","","","","","","5695 Highway 95 N","Lake Havasu City","AZ","86404","US","928-764-3700","107715","41363","27575","24774","30160","318","318","0","37601703","15341676","51704","1364","2,290.17","-5.22%","","46.47","44.04","5.51%","207","224","-7.59%","","Topaz","",""
"West Union Supercenter","1015","38.784658","-83.564806","https://www.walmart.com/store/1368/west-union-oh/details","193.68","95","8","121","132","152","0","11217 State Route 41","West Union","OH","45693","US","937-544-7198","61233","23513","15676","14084","17145","478","222","256","18987880","27772769","139826","1368","187.63","-3.12%","","3.72","3.61","3.22%","17","18","-5.56%","","Amethyst","",""
"Columbus Supercenter","1016","39.206333","-85.879296","https://www.walmart.com/store/1371/columbus-in/details","214.52","75","1","56","26","67","0","735 Whitfield Dr","Columbus","IN","47201","US","812-372-0227","106251","40800","27200","24438","29750","432","285","147","28437121","8155791","138661","1371","0","-100.00%","","4.13","0","100.00%","0","20","-100.00%","","Amethyst","",""
"Payson Supercenter","1017","34.244396","-111.325344","https://www.walmart.com/store/1369/payson-az/details","1750.94","89","0","82","56","73","0","300 N Beeline Hwy","Payson","AZ","85541","US","928-474-0029","100086","38433","25622","23020","28024","165","159","6","47679321","14242725","123202","1369","3,543.46","100.00%","","33.67","68.14","-50.59%","320","157","100.00%","","Topaz","",""
"Raleigh Supercenter","1018","35.719085","-78.659422","https://www.walmart.com/store/1372/raleigh-nc/details","4259.44","59","0","62","53","41","0","4500 Fayetteville Rd","Raleigh","NC","27603","US","919-772-8751","57693","22154","14769","13269","16154","636","447","189","7321134","43234678","174876","1372","3,796.91","-10.86%","","81.91","73.02","12.18%","343","386","-11.14%","","Emerald","",""
"Lilburn Supercenter","1019","33.90295","-84.110453","https://www.walmart.com/store/1373/lilburn-ga/details","8356.16","0","11","8","0","0","0","4004 Lawrenceville Hwy Nw","Lilburn","GA","30047","US","770-921-9224","119739","45980","30653","27540","33527","716","225","491","7945819","48341923","160816","1373","7,490.39","-10.36%","","160.7","144.05","11.56%","676","757","-10.70%","","Diamond","",""
"Hendersonville Supercenter","1020","36.3228","-86.5953","https://www.walmart.com/store/1376/hendersonville-tn/details","0","","","","","","","204 No. Anderson Lane","Hendersonville","TN","37075","US","615-264-0770","85487","32827","21885","19662","23936","844","327","517","37949766","46125611","134743","1376","219.4","100.00%","","0","4.22","-100.00%","20","0","100.00%","","Quartz","",""
"Marianna Supercenter","1021","30.727748","-85.188476","https://www.walmart.com/store/1375/marianna-fl/details","5799.5","0","0","0","0","0","0","2255 Highway 71","Marianna","FL","32448","US","850-526-5744","99129","38066","25377","22800","27756","728","534","194","36791012","44308773","99520","1375","5,383.29","-7.18%","","111.53","103.52","7.73%","486","535","-9.16%","","Diamond","",""
"Greenville Supercenter","1022","35.577534","-77.387548","https://www.walmart.com/store/1379/greenville-nc/details","5563.12","0","2","3","6","8","3","210 Greenville Blvd Sw","Greenville","NC","27834","US","252-355-2441","55406","21276","14184","12743","15514","950","823","127","31410871","46515355","79517","1379","2,745.64","-50.65%","","106.98","52.8","100.00%","248","506","-50.99%","","Emerald","",""
"Johnsburg Supercenter","1023","42.368908","-88.271336","https://www.walmart.com/store/1377/johnsburg-il/details","440.32","9","6","0","8","3","0","3801 Running Brook Farms Blvd","Johnsburg","IL","60050","US","815-344-7702","109641","42102","28068","25217","30699","324","170","154","39864340","46869243","97397","1377","0","-100.00%","","8.47","0","100.00%","0","50","-100.00%","","Amethyst","",""
"Apache Junction Supercenter","1024","33.413821","-111.5753437","https://www.walmart.com/store/1381/apache-junction-az/details","2186.02","47","0","106","79","94","0","2555 W Apache Trl","Apache Junction","AZ","85120","US","480-380-3800","137348","52742","35161","31590","38457","745","667","78","46204700","18154589","171962","1381","2,451.87","12.16%","","42.04","47.15","-10.84%","222","197","12.69%","","Topaz","",""
"La Junta Supercenter","1025","37.9981886","-103.5931748","https://www.walmart.com/store/1384/la-junta-co/details","607.71","49","2","80","4","62","0","6 Conley Rd","La Junta","CO","81050","US","719-384-5951","126343","48516","32344","29059","35376","236","111","125","2182497","45484625","63059","1384","87.76","-85.56%","","11.69","1.69","100.00%","8","63","-87.30%","","Amethyst","",""
"Beaufort Supercenter","1026","32.425554","-80.734093","https://www.walmart.com/store/1383/beaufort-sc/details","8128.44","76","0","33","45","0","51","350 Robert Smalls Pkwy","Beaufort","SC","29906","US","843-522-8221","149996","57598","38399","34499","41999","810","792","18","39763485","47141968","61280","1383","5,785.62","-28.82%","","155.74","111.26","39.98%","522","742","-29.65%","","Diamond","",""
"Greenwood Supercenter","1027","34.208194","-82.192386","https://www.walmart.com/store/1382/greenwood-sc/details","2874.34","6","6","0","5","14","0","508 Nw Bypass 72","Greenwood","SC","29649","US","864-229-2232","90112","34603","23069","20726","25231","231","157","74","43502798","37795177","133249","1382","3,477.22","20.97%","","55.28","66.87","-17.34%","314","263","19.39%","","Topaz","",""
"Las Vegas Supercenter","1028","35.619645","-105.227492","https://www.walmart.com/store/1380/las-vegas-nm/details","0","","","","","","","2609 7th St","Las Vegas","NM","87701","US","505-425-5242","50759","19491","12994","11675","14213","311","207","104","24208523","20828729","68765","1380","98.73","100.00%","","0","1.9","-100.00%","9","0","100.00%","","Quartz","",""
"Coral Springs Supercenter","1029","26.278423","-80.203091","https://www.walmart.com/store/1387/coral-springs-fl/details","15206.06","33","89","70","38","67","17","3801 Turtle Creek Dr","Coral Springs","FL","33067","US","954-341-4505","82894","31831","21221","19066","23210","887","106","781","17845700","11632699","128361","1387","13,024.27","-14.35%","","292.42","250.47","16.75%","1175","1375","-14.55%","","Diamond","",""
"Boone Supercenter","1030","42.036646","-93.870081","https://www.walmart.com/store/1389/boone-ia/details","0","155","0","137","112","122","0","1515 S.e. Marshall St","Boone","IA","50036","US","515-432-2416","51811","19895","13264","11917","14507","763","454","309","40146197","45790653","164844","1389","0","0.00%","","0","0","0.00%","0","0","0.00%","","Quartz","",""
"Daytona Beach Supercenter","1031","29.17252","-81.02998","https://www.walmart.com/store/1391/daytona-beach-fl/details","6524.98","","","","","","","1101 Beville Rd","Daytona Beach","FL","32119","US","386-760-7880","121065","46489","30993","27845","33898","373","179","194","47948070","35354764","68178","1391","4,852.74","-25.63%","","125.48","93.32","34.46%","438","601","-27.12%","","Diamond","",""
"Pinellas Park Supercenter","1032","27.845075","-82.68483","https://www.walmart.com/store/1390/pinellas-park-fl/details","9560.5","143","0","145","111","124","0","8001 Us Highway 19 N","Pinellas Park","FL","33781","US","727-576-1770","54036","20750","13833","12428","15130","403","364","39","24720448","42201907","55581","1390","8,520.58","-10.88%","","183.86","163.86","12.20%","767","876","-12.44%","","Diamond","",""
"Centralia Supercenter","1033","38.534926","-89.159199","https://www.walmart.com/store/1395/centralia-il/details","0","0","0","0","4","0","0","1212 W Mccord St","Centralia","IL","62801","US","618-533-1700","113122","43439","28959","26018","31674","879","426","453","30382865","20585430","66263","1395","87.76","100.00%","","0","1.69","-100.00%","8","0","100.00%","","Quartz","",""
"Oskaloosa Supercenter","1034","41.298646","-92.669863","https://www.walmart.com/store/1393/oskaloosa-ia/details","0","77","0","89","73","74","0","2203 Avenue A West","Oskaloosa","IA","52577","US","641-673-3839","113171","43458","28972","26029","31688","922","837","85","8366777","40989777","128766","1393","0","0.00%","","0","0","0.00%","0","0","0.00%","","Quartz","",""
"Gastonia Supercenter","1035","35.262364","-81.124124","https://www.walmart.com/store/1385/gastonia-nc/details","0","115","0","175","102","166","0","3000 E Franklin Blvd","Gastonia","NC","28056","US","704-867-2440","56519","21703","14469","12999","15825","253","249","4","14830937","16424199","147915","1385","274.25","100.00%","","0","5.27","-100.00%","25","0","100.00%","","Quartz","",""
"Wilmington Supercenter","1036","34.242149","-77.8741594","https://www.walmart.com/store/1392/wilmington-nc/details","5776.16","80","0","67","71","113","0","5226 Sigmon Rd","Wilmington","NC","28403","US","910-392-4034","120123","46127","30751","27628","33634","342","320","22","21094053","38071564","106716","1392","5,546.13","-3.98%","","111.08","106.66","4.15%","501","520","-3.65%","","Diamond","",""
"Baraboo Supercenter","1037","43.458483","-89.772509","https://www.walmart.com/store/1396/baraboo-wi/details","4341.76","140","0","108","122","134","0","920 State Road 136","Baraboo","WI","53913","US","608-356-1765","91396","35096","23397","21021","25591","919","806","113","19979002","17874861","103451","1396","3,885.10","-10.52%","","83.5","74.71","11.75%","350","398","-12.06%","","Emerald","",""
"Greenfield Supercenter","1038","42.960177","-88.044234","https://www.walmart.com/store/1394/greenfield-wi/details","0","","","","","","","10600 W Layton Ave","Greenfield","WI","53228","US","414-529-0455","88274","33897","22598","20303","24717","252","148","104","21235037","19289303","195299","1394","219.4","100.00%","","0","4.22","-100.00%","20","0","100.00%","","Quartz","",""
"Lake Worth Supercenter","1039","26.574994","-80.11455","https://www.walmart.com/store/1398/lake-worth-fl/details","5134.6","0","7","0","3","9","0","4545 Hypoluxo Rd","Lake Worth","FL","33463","US","561-642-6005","76847","29509","19673","17675","21517","921","914","7","26268584","16642093","64639","1398","4,390.29","-14.50%","","98.74","84.43","16.95%","396","464","-14.66%","","Emerald","",""
"Athens Supercenter","1040","33.919842","-83.445494","https://www.walmart.com/store/1400/athens-ga/details","5699.7","1","11","0","14","10","0","1911 Epps Bridge Pkwy","Athens","GA","30606","US","706-549-1423","135302","51956","34637","31119","37885","377","184","193","12535744","6682873","167974","1400","4,581.91","-19.61%","","109.61","88.11","24.40%","413","525","-21.33%","","Emerald","",""
"Cornelia Supercenter","1041","34.536413","-83.531914","https://www.walmart.com/store/1403/cornelia-ga/details","3823.08","0","0","54","36","50","83","250 Furniture Dr","Cornelia","GA","30531","US","706-778-0353","84808","32566","21711","19506","23746","224","215","9","7999591","25333415","63080","1403","3,979.08","4.08%","","73.52","76.52","-3.92%","360","354","1.69%","","Emerald","",""
"Bedford Supercenter","1042","37.325966","-79.49697","https://www.walmart.com/store/1399/bedford-va/details","0","0","0","8","0","11","0","1126 E Lynchburg Salem Tpke","Bedford","VA","24523","US","540-586-6176","108430","41637","27758","24939","30360","963","643","320","31083065","34843652","89704","1399","109.7","100.00%","","0","2.11","-100.00%","10","0","100.00%","","Quartz","",""
"Naperville Supercenter","1043","41.745338","-88.198078","https://www.walmart.com/store/1401/naperville-il/details","814.22","","","","","","","2552 W. 75th St","Naperville","IL","60564","US","630-416-1000","99912","38366","25577","22980","27975","789","128","661","9588846","40967550","188358","1401","0","-100.00%","","15.66","0","100.00%","0","86","-100.00%","","Amethyst","",""
"Winchester Supercenter","1044","39.1558595","-78.1724345","https://www.walmart.com/store/1406/winchester-va/details","4903.73","9","3","0","18","12","0","2350 S Pleasant Valley Rd","Winchester","VA","22601","US","540-667-9111","90457","34735","23157","20805","25328","270","128","142","26303924","32011991","199525","1406","4,310.08","-12.11%","","94.3","82.89","13.77%","389","445","-12.58%","","Emerald","",""
"Lebanon Supercenter","1045","39.456055","-84.172455","https://www.walmart.com/store/1407/lebanon-oh/details","139.1","0","0","94","54","53","81","1530 Walmart Dr","Lebanon","OH","45036","US","513-932-4236","121004","46466","30977","27831","33881","684","589","95","17781690","38657955","158304","1407","373.55","100.00%","","2.68","7.18","-62.76%","34","13","100.00%","","Amethyst","",""
"Tallahassee Supercenter","1046","30.461987","-84.359237","https://www.walmart.com/store/1408/tallahassee-fl/details","5895.3","","","","","","","4400 W Tennessee St","Tallahassee","FL","32304","US","850-574-3588","113151","43450","28967","26025","31682","429","347","82","32867705","8075188","89413","1408","5,129.84","-12.98%","","113.37","98.65","14.92%","463","531","-12.81%","","Diamond","",""
"Albuquerque Supercenter","1047","35.204341","-106.656674","https://www.walmart.com/store/1397/albuquerque-nm/details","1158.36","167","12","87","134","225","8","10224 Coors Byp Nw","Albuquerque","NM","87114","US","505-897-1228","149816","57529","38353","34458","41948","617","297","320","19154263","3385752","161873","1397","3,631.22","100.00%","","22.28","69.83","-68.10%","328","102","100.00%","","Amethyst","",""
"Troy Supercenter","1048","40.056617","-84.235585","https://www.walmart.com/store/1410/troy-oh/details","81.87","","","","","","","1801 W Main St","Troy","OH","45373","US","937-339-7211","83702","32142","21428","19251","23437","795","379","416","28212995","48776543","166139","1410","0","-100.00%","","1.57","0","100.00%","0","8","-100.00%","","Amethyst","",""
"Houston Supercenter","1049","29.7932","-95.564858","https://www.walmart.com/store/1409/houston-tx/details","510.82","","","","","","","10750 Westview Dr","Houston","TX","77043","US","713-984-2773","58346","22405","14937","13420","16337","112","108","4","29998777","37737562","151750","1409","208.43","-59.20%","","9.82","4.01","100.00%","19","50","-62.00%","","Amethyst","",""
"Laramie Supercenter","1050","41.301639","-105.540476","https://www.walmart.com/store/1412/laramie-wy/details","805.57","","","","","","","4308 E Grand Ave","Laramie","WY","82070","US","307-745-6100","74409","28573","19049","17114","20835","652","141","511","46559717","7915396","183653","1412","219.4","-72.76%","","15.49","4.22","100.00%","20","77","-74.03%","","Amethyst","",""
"Green Valley Supercenter","1051","31.912168","-110.982594","https://www.walmart.com/store/1411/green-valley-az/details","2057.84","42","0","30","0","4","6","18680 S Nogales Hwy","Green Valley","AZ","85614","US","520-625-3808","66317","25466","16977","15253","18569","693","318","375","13334116","47888808","103452","1411","4,312.07","100.00%","","39.57","82.92","-52.28%","391","184","100.00%","","Topaz","",""
"Bay City Supercenter","1052","28.98382","-95.934448","https://www.walmart.com/store/1405/bay-city-tx/details","307.48","4","0","6","0","0","0","4600 7th St","Bay City","TX","77414","US","979-245-0196","125256","48098","32066","28809","35072","468","178","290","41441303","34500358","64620","1405","54.85","-82.16%","","5.91","1.05","100.00%","5","34","-85.29%","","Amethyst","",""
"Crystal Lake Supercenter","1053","42.209328","-88.282838","https://www.walmart.com/store/1413/crystal-lake-il/details","828.36","0","1","0","0","6","0","1205 S Il Route 31","Crystal Lake","IL","60014","US","815-455-4200","54774","21033","14022","12598","15337","672","219","453","49486729","19101155","132910","1413","0","-100.00%","","15.93","0","100.00%","0","89","-100.00%","","Amethyst","",""
"Lake Zurich Supercenter","1054","42.186054","-88.087621","https://www.walmart.com/store/1404/lake-zurich-il/details","450.83","","","","","","","820 S Rand Rd","Lake Zurich","IL","60047","US","847-438-2200","78787","30254","20169","18121","22060","695","470","225","13042642","18953628","157540","1404","0","-100.00%","","8.67","0","100.00%","0","46","-100.00%","","Amethyst","",""
"Belen Supercenter","1055","34.6971752","-106.7683411","https://www.walmart.com/store/1414/belen-nm/details","1157.74","","","","","","","1 I 25 Bypass","Belen","NM","87002","US","505-864-9114","143362","55051","36701","32973","40141","865","530","335","1947664","30820592","168227","1414","3,084.43","100.00%","","22.26","59.32","-62.47%","278","101","100.00%","","Amethyst","",""
"Fort Wayne Supercenter","1056","41.127955","-85.13816","https://www.walmart.com/store/1419/fort-wayne-in/details","314.37","","","","","","","5311 Coldwater Rd","Fort Wayne","IN","46825","US","260-484-4198","62685","24071","16047","14418","17552","458","289","169","26969378","1123333","93603","1419","0","-100.00%","","6.05","0","100.00%","0","31","-100.00%","","Amethyst","",""
"O Fallon Supercenter","1057","38.59509","-89.954009","https://www.walmart.com/store/1418/o-fallon-il/details","4319","48","0","62","51","0","0","1530 West Hwy 50","O Fallon","IL","62269","US","618-632-9066","100164","38463","25642","23038","28046","618","424","194","45873374","28647907","127907","1418","4,434.88","2.68%","","83.06","85.29","-2.61%","401","394","1.78%","","Emerald","",""
"Prescott Supercenter","1058","34.554753","-112.408542","https://www.walmart.com/store/1417/prescott-az/details","1919.36","55","0","133","50","98","0","3050 E State Route 69","Prescott","AZ","86301","US","928-445-1113","124505","47810","31873","28636","34861","929","917","12","33818459","31658943","98226","1417","2,709.88","41.19%","","36.91","52.11","-29.17%","245","172","42.44%","","Topaz","",""
"Colonial Heights Supercenter","1059","37.2458298","-77.3863435","https://www.walmart.com/store/1424/colonial-heights-va/details","7353.98","2","0","6","7","4","2","671 Southpark Blvd","Colonial Heights","VA","23834","US","804-526-0844","103062","39576","26384","23704","28857","918","290","628","49095535","48557625","177617","1424","4,877.03","-33.68%","","141.42","93.79","50.79%","439","667","-34.18%","","Diamond","",""
"Ashland Supercenter","1060","38.485575","-82.658168","https://www.walmart.com/store/1426/ashland-ky/details","106.04","4","1","0","3","3","0","351 River Hill Dr","Ashland","KY","41101","US","606-329-0012","99780","38316","25544","22949","27938","473","146","327","11194001","18985889","160501","1426","285.91","100.00%","","2.04","5.5","-62.91%","27","10","100.00%","","Amethyst","",""
"Oshkosh Supercenter","1061","44.015765","-88.586283","https://www.walmart.com/store/1430/oshkosh-wi/details","357.74","23","0","36","22","40","0","351 S Washburn St","Oshkosh","WI","54904","US","920-231-1575","104554","40149","26766","24047","29275","612","319","293","32258777","12582938","73891","1430","2,183.14","100.00%","","6.88","41.98","-83.61%","197","31","100.00%","","Amethyst","",""
"Keokuk Supercenter","1062","40.417702","-91.41065","https://www.walmart.com/store/1431/keokuk-ia/details","40","1","1","0","3","1","6","300 No. Park Drive","Keokuk","IA","52632","US","319-524-6941","129901","49882","33255","29877","36372","987","425","562","11960468","2163657","100221","1431","0","-100.00%","","0","0","0.00%","0","8","-100.00%","","Amethyst","",""
